CustomerID,FirstName,LastName,City,Email
1001,Amanda,Hughes,Houston,amanda.hughes@example.com
1002,Brian,Lopez,Dallas,brian.lopez@example.com
1003,Chloe,Nichols,Austin,chloe.nichols@example.com
1004,Daniel,Owens,Houston,daniel.owens@example.com
1005,Elena,Price,San Antonio,elena.price@example.com
1006,Felix,Ramirez,Dallas,felix.ramirez@example.com
1007,Gina,Stone,Houston,gina.stone@example.com
1008,Harold,Tucker,Fort Worth,harold.tucker@example.com
1009,Isla,Vega,Plano,isla.vega@example.com
1010,Jonah,Wallace,Houston,jonah.wallace@example.com
